id	和名	Commonsファイル	作者	ライセンス
tyranno	ティラノサウルス	Tyrannosaurus rex Reconstruction by Nobu Tamura.jpg	Nobu Tamura	CC BY-SA 4.0
spino	スピノサウルス	Life reconstruction of Spinosaurus aegyptiacus.png	Connor Ashbridge	CC BY-SA 4.0
allo	アロサウルス	Allosaurus BW.jpg	Nobu Tamura (http://spinops.blogspot.com)	CC BY 2.5
velo	ヴェロキラプトル	Fred Wierum Velociraptor.png	Fred Wierum	CC BY-SA 4.0
gigano	ギガノトサウルス	Giganotosaurus BW.jpg	Nobu Tamura (http://spinops.blogspot.com)	CC BY 2.5
carno	カルノタウルス	Carnotaurus Reconstruction (2022).png	Fred Wierum	CC BY-SA 4.0
deino	デイノニクス	Deinonychus by Durbed.png	Durbed	CC BY-SA 3.0
theri	テリジノサウルス	Therizinosaurus Restoration.png	PaleoNeolitic	CC BY 4.0
dilo	ディロフォサウルス	Life reconstruction of Dilophosaurus wetherilli.png	Connor Ashbridge	CC BY 4.0
ovi	オヴィラプトル	Oviraptor TD.png	TotalDino	CC BY 4.0
tricera	トリケラトプス	Triceratops BW.jpg	Nobu Tamura (http://spinops.blogspot.com)	CC BY 2.5
brachio	ブラキオサウルス	Brachiosaurus BW.jpg	Nobu Tamura (http://spinops.blogspot.com)	CC BY 2.5
stego	ステゴサウルス	Stegosaurus stenops Life Reconstruction.png	Fred Wierum	CC BY-SA 4.0
ankylo	アンキロサウルス	Ankylosaurus magniventris reconstruction nomargin.png	Emily Willoughby (e.deinonychus@gmail.com, http://emilywilloughby.com); modifica	CC BY-SA 3.0
apato	アパトサウルス	Apatosaurus TD.png	TotalDino	CC0
diplo	ディプロドクス	Diplodocus TD.png	TotalDino	CC BY-SA 4.0
para	パラサウロロフス	Parasaurolophus TD.png	TotalDino	CC BY 4.0
iguano	イグアノドン	Iguanodon paleoart 2025.png	Sauroarchive	CC BY 4.0
pachy	パキケファロサウルス	202004 Pachycephalosaurus wyomingensis.png	DataBase Center for Life Science (DBCLS)	CC BY 4.0
maia	マイアサウラ	Maiasaura TD.png	TotalDino	CC BY 4.0
argentino	アルゼンチノサウルス	Argentinosaurus BW.jpg	Nobu Tamura (http://spinops.blogspot.com)	CC BY 3.0
proto	プロトケラトプス	Protoceratops andrewsi Restoration.png	PaleoNeolitic	CC BY 4.0
pterano	プテラノドン	202009 Pteranodon longiceps.png	DataBase Center for Life Science (DBCLS)	CC BY 4.0
quetzal	ケツァルコアトルス	Quetzalcoatlus lawsoni.png	Connor Ashbridge	CC BY 4.0
rhampho	ランフォリンクス	Rhamphorhynchus DB.jpg	ДиБгд at Russian Wikipedia	Public domain
mosa	モササウルス	Mosasaurus.png	UnexpectedDinoLesson	CC BY 4.0
plesio	プレシオサウルス	Plesiosaurus dolichodeirus.png	Connor Ashbridge	CC BY-SA 4.0
elasmo	エラスモサウルス	Elasmosaurus platyurus (transparent).png	DiBgd	CC BY-SA 4.0
ichthyo	イクチオサウルス	Ichthyosaurus BW.jpg	Nobu Tamura (http://spinops.blogspot.com)	CC BY 3.0
futaba	フタバサウルス	Futabasaurus suzukii.png	Connor Ashbridge	CC BY-SA 4.0
